comm_id,comm_name,comm_age,sso,migration,exec_spsr,acct_geo,plat_tier,gold_tier,silv_tier,#_lang,#_features,enabled,case_count
a0C00000003NZlb,200,0.82,0,0,1,NA,1,0,0,1,0,1,1
a0C00000002wcBg,201,1.74,0,0,1,NA,1,0,0,1,0,1,7
a0C00000002Snym,202,2.94,1,0,1,NA,1,0,0,2,6,1,2
a0C00000000DgN1,203,7.98,0,0,1,NA,0,1,0,1,1,0,0
a0C00000003NnOz,204,0.33,0,0,1,NA,1,0,0,1,6,1,0
a0C00000003NiL3,205,0.48,0,0,1,NA,1,0,0,1,6,1,0
a0C00000002Snyn,206,2.94,1,0,1,NA,1,0,0,2,6,1,0
a0C00000003NbRZ,207,0.74,0,0,1,NA,1,0,0,1,0,1,0
a0C00000001x01U,208,3.63,1,0,1,NA,1,0,0,1,8,0,0
a0C00000001x01P,209,3.63,1,0,1,NA,1,0,0,1,8,0,0
a0C00000001x01K,210,3.63,1,0,1,NA,1,0,0,1,8,0,0
a0C00000001x01F,211,3.63,1,0,1,NA,1,0,0,1,8,0,0
a0C00000003NgFr,212,0.55,0,0,1,EMEA,1,0,0,1,8,1,0
a0C00000002fNMq,213,2.63,0,0,1,EMEA,1,0,0,1,0,0,0
a0C00000000UKTz,214,5.35,1,0,1,EMEA,1,0,0,1,8,1,397
a0C00000002fZC2,215,2.62,0,0,1,EMEA,1,0,0,1,0,1,91
a0C00000001vjfM,216,3.66,1,0,1,EMEA,1,0,0,1,5,1,323
a0C00000002e9es,217,2.66,1,0,1,NA,0,1,0,6,7,1,195
a0C00000002EOyD,218,3.18,0,0,1,EMEA,0,1,0,1,0,1,91
a0C000000013u4j,219,4.54,1,0,1,NA,1,0,0,1,5,1,859
a0C00000000E6U2,220,6.89,0,0,1,NA,1,0,0,9,5,1,856
a0C000000032rad,221,1.59,1,0,1,EMEA,1,0,0,1,3,1,60
a0C00000001eJpv,222,3.91,1,0,1,EMEA,1,0,0,1,8,0,129
a0C00000000EJg0,223,6.5,1,0,1,EMEA,1,0,0,1,8,1,590
a0C00000003NCGT,224,1.08,0,1,1,EMEA,1,0,0,2,4,1,10
a0C00000002oMiW,225,2.15,0,0,1,EMEA,0,1,0,1,7,1,56
a0C00000002WT67,226,2.85,0,0,1,EMEA,1,0,0,1,0,1,55
a0C000000029y7X,227,3.3,0,0,1,NA,1,0,0,1,5,1,233
a0C00000002Sny3,228,2.94,1,0,1,NA,1,0,0,2,6,1,44
a0C00000002HUMs,229,3.1,1,0,1,NA,1,0,0,1,3,1,61
a0C00000003NX0q,230,0.9,0,0,1,NA,0,1,0,1,0,1,98
a0C00000000DhCn,231,7.89,0,0,1,NA,0,1,0,1,3,0,323
a0C61000002R2ki,232,0.26,0,0,1,EMEA,1,0,0,1,0,1,2
a0C00000002GSWA,233,3.13,0,0,1,NA,0,1,0,1,1,1,122
a0C00000002fZBx,234,2.62,0,0,1,EMEA,1,0,0,1,4,1,71
a0C00000002AaeX,235,3.28,0,0,1,EMEA,1,0,0,1,0,0,58
a0C000000032raY,236,1.59,0,0,1,EMEA,1,0,0,1,0,1,10
a0C00000001Y6Tw,237,3.97,1,0,1,NA,1,0,0,1,9,1,112
a0C00000000E8Uc,238,6.82,0,0,1,NA,0,1,0,10,5,1,366
a0C00000002AaeN,239,3.28,0,0,1,NA,0,0,0,1,1,0,326
a0C00000002oMig,240,2.15,0,0,1,EMEA,0,1,0,1,3,1,5
a0C00000003NfYR,241,0.58,0,0,1,EMEA,0,1,0,1,0,1,9
a0C00000002SnyI,242,2.94,1,0,1,NA,1,0,0,2,6,1,1
a0C00000002eRrN,243,2.65,1,0,1,EMEA,0,1,0,1,12,1,119
a0C00000000EpUw,244,6.2,1,0,1,EMEA,0,1,0,4,5,1,315
a0C00000000r4ZZ,245,4.78,1,0,1,EMEA,1,0,0,1,8,1,82
a0C00000002cCim,246,2.71,0,0,1,EMEA,0,1,0,1,3,1,34
a0C00000002AaeS,247,3.28,0,0,1,NA,0,1,0,1,0,0,184
a0C00000002AaeS,248,3.28,0,0,1,NA,0,1,0,1,0,1,184
a0C00000003NZi4,249,0.82,0,0,1,EMEA,0,1,0,1,5,1,1
a0C00000003NfYM,250,0.58,0,0,1,EMEA,0,1,0,1,8,1,5
a0C00000001vcUA,251,3.66,1,0,1,EMEA,1,0,0,1,7,1,31
a0C00000002dwMK,252,2.67,0,0,1,NA,0,1,0,1,4,1,79
a0C00000000UC65,253,5.39,0,0,1,EMEA,1,0,0,1,8,1,135
a0C00000000EEHz,254,6.64,0,0,1,NA,0,1,0,2,0,0,95
a0C00000000DoAN,255,7.22,0,0,1,NA,0,1,0,2,2,0,137
a0C00000000EhL0,256,6.24,0,0,1,NA,0,1,0,2,3,0,92
a0C00000000DgPg,257,7.98,1,0,1,NA,0,1,0,1,1,0,26
